"YMTGDP","ITMCDP","CLRCDP","ACT","FREE","KEEPS","LOWLIMIT","CONSUME","DELIVERY","PRODUCTION","PURCHES"
201202,1419109,580,36028.7,33918.3,0,0,2318.4,0,0,25000
201202,1420200,580,300,0,0,0,0,0,300,0
201202,1440762,580,0,0,0,0,0,0,0,0
201202,1553859,30,0,0,0,0,3800,0,3800,0
201202,1553859,580,0,0,0,0,0,0,0,0
201202,1569060,30,0,0,0,0,0,0,0,0
201202,1569060,580,0,0,0,0,0,0,0,0
201202,1641071,580,401,401,0,0,0,0,0,0
201202,1892857,580,0,0,0,0,0,20,0,20
201203,2842,30,0,0,0,0,0,0,0,0
201203,2842,580,7056.9,7056.9,0,0,5447.9,0,6362.5,0
201203,8110,30,22808,21980.9,0,0,24919.7,0,27642.4,0
201203,8110,580,2371529.3,2130163.9,0.2,0,612598.8,0,38160,0
201203,9007,30,0,0,0,0,0,8000,8000,0
201203,9007,580,268990,154590,0,0,0,85200,0,50000
201203,12222,30,1791.4,1791.4,0,0,0,0,0,0
201203,12222,580,170.3,170.3,0,0,0,0,0,0
201203,13976,30,0,0,0,0,0,0,0,0
201203,13976,580,68.2,0.2,0,0,0,0,0,0
201203,21192,580,166.5,166.5,0,0,0,0,0,0
201203,42875,580,3000,3000,0,0,0,400,0,0
201203,236228,30,0,0,0,0,0,0,0,0
201203,236228,580,94.2,94.2,0,0,0,0,0,0
201203,267001,30,1768,1364,0,0,2222,0,0,0
201203,267001,580,6647.6,4760.4,0,0,27372.8,0,20850,0
201203,345189,580,13000,10800,1200,0,0,2000,0,0
201203,403025,30,0,0,0,0,0,2200,2200,0
201203,403025,580,200,0,0,0,0,1400,1600,0
201203,410123,580,8400,8400,0,0,0,0,0,0
201203,1043617,30,0,0,0,0,0,0,0,0
201203,1043617,580,125,0,0,0,0,11312,25759,0
201203,1052456,580,1827.4,1827.4,0,0,1.3,0,0,0
201203,1052730,30,2009.6,2009.6,0,0,0,0,0,0
201203,1052730,580,2912.6,2912.6,0,0,0,0,0,0
201203,1094947,30,0,0,0,0,0,0,0,0
201203,1094947,580,68559.5,44432.9,614,0,34762.4,0,0,0
201203,1097782,580,400,0,0,0,0,200,600,0
201203,1110902,30,0,0,0,0,0,0,0,0
201203,1110902,580,0,0,0,0,0,0,0,0
201203,1117808,580,3,0,0,0,0,1013,435,0
201203,1186333,580,200,200,0,0,0,0,0,0
201203,1238326,580,270.1,270.1,0,0,0,0,0,0
201203,1239635,580,0,0,0,0,0,0,0,0
201203,1247603,30,0,0,0,0,0,0,0,0
201203,1247603,580,1400,0,0,0,0,2700,1400,0
201203,1306061,580,0,0,0,0,0,0,0,0
201203,1323375,580,0,0,0,0,0,0,0,0
201203,1323394,580,0,0,0,0,0,0,0,0
201203,1371593,30,0,0,0,0,0,0,0,0
201203,1371593,580,0,0,0,0,0,0,0,500
201203,1398500,580,58.7,58.7,0,0,0,0,0,0
201203,1401220,580,0,0,0,0,0,0,0,0
201203,1415687,580,0,0,0,0,0,0,0,0
201203,1419109,580,32376.6,28968.2,0,0,3652.1,0,0,0
201203,1420200,580,600,0,0,0,0,300,600,0
201203,1440762,580,1,0,0,0,0,0,1,0
201203,1553859,30,0,0,0,0,0,0,0,0
201203,1553859,580,0,0,0,0,21000,0,21000,0
201203,1569060,30,0,0,0,0,0,0,0,0
201203,1569060,580,0,0,0,0,0,0,0,0
201203,1641071,580,401,401,0,0,0,0,0,0
201203,1892857,580,0,0,0,0,0,0,0,0
201204,2842,30,0,0,0,0,0,0,0,0
201204,2842,580,7043.1,4889.6,0,0,10.1,0,0,0
201204,8110,30,13203.2,11194.7,0,0,9609.1,0,0,0
201204,8110,580,1830944.6,1619835.2,0.2,0,547534.7,0,6950,0
201204,9007,30,0,0,0,0,0,5400,5400,0
201204,9007,580,144390,52990,0,0,0,99800,1600,0
201204,12222,30,1791.4,1791.4,0,0,0,0,0,0
201204,12222,580,170.3,170.3,0,0,0,0,0,0
201204,13976,30,0,0,0,0,0,0,0,0
201204,13976,580,0,0,0,0,410.1,0,404.3,0
201204,21192,580,166.5,166.5,0,0,0,0,0,0
201204,42875,580,2000,600,0,0,0,1000,0,0
201204,236228,30,0,0,0,0,0,0,0,0
201204,236228,580,94.2,94.2,0,0,0,0,0,0
201204,267001,30,1392.5,916.7,0,0,404,0,0,0
201204,267001,580,15517.3,4897.8,0,0,18930.3,0,27800,0
201204,345189,580,8800,4800,1200,0,0,4200,0,0
201204,403025,30,400,0,0,0,0,0,400,0
201204,403025,580,0,0,0,0,0,200,0,0
201204,410123,580,8400,8400,0,0,0,0,0,0
201204,1043617,30,0,0,0,0,0,0,0,0
201204,1043617,580,607,0,0,0,0,1009,12006,0
201204,1052456,580,1827.4,1827.4,0,0,0,0,0,0
201204,1052730,30,2009.6,2009.6,0,0,0,0,0,0
201204,1052730,580,2912.6,2912.6,0,0,0,0,0,0
201204,1094947,580,41903.2,0.2,376.5,0,55856.3,0,0,30000
201204,1097782,580,12600,0,0,0,0,4000,15400,0
201204,1110902,30,0,0,0,0,0,0,0,0
201204,1110902,580,0,0,0,0,0,0,0,0
201204,1117808,580,110,0,0,0,0,18,125,0
201204,1186333,580,200,200,0,0,0,0,0,0
201204,1238326,580,270.1,270.1,0,0,0,0,0,0
201204,1239635,580,0,0,0,0,0,0,0,0
201204,1247603,30,0,0,0,0,0,0,0,0
201204,1247603,580,0,0,0,0,0,1400,0,0
201204,1306061,580,0,0,0,0,0,0,0,0
201204,1323375,580,0,0,0,0,0,0,0,0
201204,1323394,580,0,0,0,0,0,0,0,0
201204,1371593,30,0,0,0,0,0,0,0,0
201204,1371593,580,0,0,0,0,0,0,0,0
201204,1398500,580,58.7,58.7,0,0,0,0,0,0
201204,1401220,580,0,0,0,0,0,0,0,0
201204,1415687,580,0,0,0,0,0,0,0,0
201204,1419109,580,29268.4,22951.9,0,0,3108.2,0,0,0
201204,1420200,580,1200,0,0,0,0,0,600,0
201204,1440762,580,0,0,0,0,0,4,3,0
201204,1553859,30,0,0,0,0,0,0,0,0
201204,1553859,580,0,0,0,0,28000,0,28000,0
201204,1569060,30,0,0,0,0,0,0,0,0
201204,1569060,580,0,0,0,0,0,0,0,0
201204,1641071,580,401,401,0,0,0,0,0,0
201204,1892857,580,0,0,0,0,0,0,0,0
201205,2842,30,0,0,0,0,0,0,0,0
201205,2842,580,4702,4699.5,0,0,2289.7,0,0,0
201205,8110,30,1317.5,452.3,0,0,11885.7,0,0,0
201205,8110,580,1361348.2,1222338.7,0.2,0,477796.4,0,8200,0
201205,9007,30,0,0,0,0,0,6200,6200,0
201205,9007,580,166990,86390,0,0,0,97400,0,120000
201205,12222,30,1791.4,1791.4,0,0,0,0,0,0
201205,12222,580,168.9,168.9,0,0,1.4,0,0,0
201205,13976,30,0,0,0,0,0,0,0,0
201205,13976,580,0,0,0,0,0,0,0,0
201205,21192,580,166.5,166.5,0,0,0,0,0,0
201205,42875,580,200,0,0,0,0,1800,0,0
201205,236228,30,0,0,0,0,0,0,0,0
201205,236228,580,129,35,0,0,86.7,0,129.5,0
201205,267001,30,947,257.1,0,0,475.8,0,0,0
201205,267001,580,11431,4788.1,0,0,24936.3,0,20850,0
201205,345189,580,6000,1000,1200,0,0,2800,0,0
201205,403025,30,471,0,0,0,0,400,471,0
201205,403025,580,3162,0,0,0,0,800,3962,0
201205,410123,580,8400,8400,0,0,0,0,0,0
201205,1043617,30,170,0,0,0,0,3,173,0
201205,1043617,580,507,0,0,0,0,958,858,0
201205,1052456,580,1827.4,1827.4,0,0,0,0,0,0
201205,1052730,30,2009.6,2009.6,0,0,0,0,0,0
201205,1052730,580,2912.6,2912.6,0,0,0,0,0,0
201205,1094947,580,57855.2,46779.7,373.7,0,64048,0,0,80000
201205,1097782,580,2000,0,0,0,0,25200,14600,0
201205,1110902,30,0,0,0,0,0,0,0,0
201205,1110902,580,0,0,0,0,0,0,0,0
201205,1117808,580,100,0,0,0,0,17,7,0
201205,1186333,580,200,200,0,0,0,0,0,0
201205,1238326,580,270.1,270.1,0,0,0,0,0,0
201205,1239635,580,0,0,0,0,0,0,0,0
201205,1246424,580,0,0,0,0,0,1,1,0
201205,1247603,30,0,0,0,0,0,0,0,0
201205,1247603,580,0,0,0,0,0,1400,1400,0
201205,1306061,580,0,0,0,0,0,0,0,0
201205,1323375,580,0,0,0,0,0,0,0,0
201205,1323394,580,0,0,0,0,0,0,0,0
201205,1371593,30,0,0,0,0,0,0,0,0
201205,1371593,580,0,0,0,0,0,0,0,0
201205,1398500,580,37.7,37.7,0,0,21,0,0,0
201205,1401220,580,0,0,0,0,0,0,0,0
201205,1415687,580,0,0,0,0,0,0,0,0
201205,1419109,580,22043.5,19861.7,0,0,7224.9,0,0,0
201205,1420200,580,600,0,0,0,0,3000,2400,0
201205,1440762,580,0,0,0,0,0,0,0,0
201205,1553859,30,0,0,0,0,0,0,0,0
201205,1553859,580,0,0,0,0,21000,0,21000,0
201205,1569060,30,0,0,0,0,0,0,0,0
201205,1569060,580,0,0,0,0,0,0,0,0
201205,1641071,580,401,401,0,0,0,0,0,0
201205,1892857,580,0,0,0,0,0,0,0,0
201206,2842,30,0,0,0,0,0,0,0,0
201206,2842,580,3088.2,0.4,0,0,1531.6,0,0,0
201206,8110,30,13356,13246.6,0,0,2082.3,0,14120.8,0
201206,8110,580,923306.5,832235.4,0.2,0,471841.7,0,33800,0
201206,9007,30,0,0,0,0,0,0,0,0
201206,9007,580,91790,41190,0,0,0,97000,35000,0
201206,12222,30,1791.4,1791.4,0,0,0,0,0,0
201206,12222,580,160.7,160.7,0,0,8.2,0,0,0
201206,13976,30,0,0,0,0,0,0,0,0
201206,13976,580,0,0,0,0,0,0,0,0
201206,21192,580,166.5,166.5,0,0,0,0,0,0
